id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
168,Taiwan,2022-05-02,高端,953879,859499,747121,11806,0,0,2572305
167,Taiwan,2022-05-02,Moderna,4329174,4548129,10066763,135681,0,0,19079747
166,Taiwan,2022-05-02,Oxford/AstraZeneca,8066478,7152895,49509,924,0,0,15269806
165,Taiwan,2022-05-03,ALL,19774629,18668059,14039220,194025,0,0,52675933
164,Taiwan,2022-05-03,BNT,6411921,6096287,3121515,45420,0,0,15675143
163,Taiwan,2022-05-03,高端,958072,862011,754448,11874,0,0,2586405
162,Taiwan,2022-05-03,Moderna,4337701,4556196,10113090,135806,0,0,19142793
161,Taiwan,2022-05-03,Oxford/AstraZeneca,8066935,7153565,50167,925,0,0,15271592
160,Taiwan,2022-05-04,ALL,19793333,18685737,14130531,194697,0,0,52804298
159,Taiwan,2022-05-04,BNT,6411938,6096321,3121592,45436,0,0,15675287
158,Taiwan,2022-05-04,高端,962567,864684,761350,11965,0,0,2600566
157,Taiwan,2022-05-04,Moderna,4351445,4570534,10196809,136368,0,0,19255156
156,Taiwan,2022-05-04,Oxford/AstraZeneca,8067383,7154198,50780,928,0,0,15273289
155,Taiwan,2022-05-05,ALL,19809571,18699646,14200213,195089,0,0,52904519
154,Taiwan,2022-05-05,BNT,6411953,6096364,3121573,45440,0,0,15675330
153,Taiwan,2022-05-05,高端,966765,867342,767635,12017,0,0,2613759
152,Taiwan,2022-05-05,Moderna,4363112,4581208,10259802,136703,0,0,19340825
151,Taiwan,2022-05-05,Oxford/AstraZeneca,8067741,7154732,51203,929,0,0,15274605
150,Taiwan,2022-05-06,ALL,19832764,18715881,14287874,194783,0,0,53031302
149,Taiwan,2022-05-06,BNT,6411962,6096403,3121550,45224,0,0,15675139
148,Taiwan,2022-05-06,高端,970102,869794,773422,11936,0,0,2625254
147,Taiwan,2022-05-06,Moderna,4382655,4594560,10341223,136687,0,0,19455125
146,Taiwan,2022-05-06,Oxford/AstraZeneca,8068045,7155124,51679,936,0,0,15275784
145,Taiwan,2022-05-08,ALL,19848511,18729594,14358891,195167,0,0,53132163
144,Taiwan,2022-05-08,BNT,6411976,6096436,3121859,45135,0,0,15675406
143,Taiwan,2022-05-08,高端,973043,872152,778708,11962,0,0,2635865
142,Taiwan,2022-05-08,Moderna,4395075,4605319,10405942,137128,0,0,19543464
141,Taiwan,2022-05-08,Oxford/AstraZeneca,8068417,7155687,52382,942,0,0,15277428
140,Taiwan,2022-05-09,ALL,19865219,18741504,14408454,195046,0,0,53210223
139,Taiwan,2022-05-09,BNT,6411989,6096467,3121835,44935,0,0,15675226
138,Taiwan,2022-05-09,高端,975870,874463,783105,11969,0,0,2645407
137,Taiwan,2022-05-09,Moderna,4408699,4614515,10450705,137197,0,0,19611116
136,Taiwan,2022-05-09,Oxford/AstraZeneca,8068661,7156059,52809,945,0,0,15278474
135,Taiwan,2022-05-10,ALL,19884741,18752383,14452238,195370,0,0,53284732
134,Taiwan,2022-05-10,BNT,6411995,6096499,3121854,44939,0,0,15675287
133,Taiwan,2022-05-10,高端,978111,876440,786838,12013,0,0,2653402
132,Taiwan,2022-05-10,Moderna,4425676,4622915,10490328,137471,0,0,19676390
131,Taiwan,2022-05-10,Oxford/AstraZeneca,8068959,7156529,53218,947,0,0,15279653
130,Taiwan,2022-05-11,ALL,19904865,18764672,14500181,195053,0,0,53364771
129,Taiwan,2022-05-11,BNT,6412005,6096525,3121840,44762,0,0,15675132
128,Taiwan,2022-05-11,高端,980400,878790,790485,12070,0,0,2661745
127,Taiwan,2022-05-11,Moderna,4443210,4632424,10534215,137273,0,0,19747122
126,Taiwan,2022-05-11,Oxford/AstraZeneca,8069250,7156933,53641,948,0,0,15280772
125,Taiwan,2022-05-12,ALL,19930415,18776345,14542945,194872,0,0,53444577
124,Taiwan,2022-05-12,BNT,6412020,6096567,3122008,44640,0,0,15675235
123,Taiwan,2022-05-12,高端,982497,881151,794151,12106,0,0,2669905
122,Taiwan,2022-05-12,Moderna,4466425,4641291,10572826,137176,0,0,19817718
121,Taiwan,2022-05-12,Oxford/AstraZeneca,8069473,7157336,53960,950,0,0,15281719
120,Taiwan,2022-05-13,ALL,19978334,18792077,14606243,194716,0,0,53571370
119,Taiwan,2022-05-13,BNT,6412032,6096590,3122193,44361,0,0,15675176
118,Taiwan,2022-05-13,高端,984280,883639,797955,12050,0,0,2677924
117,Taiwan,2022-05-13,Moderna,4512379,4654256,10631828,137348,0,0,19935811
116,Taiwan,2022-05-13,Oxford/AstraZeneca,8069643,7157592,54267,957,0,0,15282459
115,Taiwan,2022-05-15,ALL,19999868,18805023,14660060,195519,0,0,53660470
114,Taiwan,2022-05-15,BNT,6412042,6096598,3122183,44363,0,0,15675186
113,Taiwan,2022-05-15,高端,985859,885908,801156,12091,0,0,2685014
112,Taiwan,2022-05-15,Moderna,4532212,4664681,10682181,138107,0,0,20017181
111,Taiwan,2022-05-15,Oxford/AstraZeneca,8069755,7157836,54540,958,0,0,15283089
110,Taiwan,2022-05-16,BNT,6412066,6096639,3122228,44371,0,0,15675304
109,Taiwan,2022-05-16,Oxford/AstraZeneca,8070030,7158177,54870,969,0,0,15284046
108,Taiwan,2022-05-16,高端,987552,888514,804359,12166,41,0,2692632
107,Taiwan,2022-05-16,Moderna,4551483,4674254,10719296,138569,547,0,20084149
106,Taiwan,2022-05-16,ALL,20021131,18817584,14700753,196075,588,0,53736131
