id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
166,Taiwan,2022-10-22,BNT,7628694,7002475,4393004,45430,227428,0,19297031
165,Taiwan,2022-10-22,Novavax,18327,24156,75225,1405,328575,0,447688
164,Taiwan,2022-10-22,Moderna,5026269,5275261,11589556,125759,1869488,0,23886333
163,Taiwan,2022-10-22,ALL,21764985,20454706,17061314,185474,2522488,0,61988967
162,Taiwan,2022-10-24,Oxford/AstraZeneca,8072456,7164460,59783,720,0,0,15297419
161,Taiwan,2022-10-24,高端,1019258,988406,943973,12120,97118,0,3060875
160,Taiwan,2022-10-24,BNT,7629649,7003985,4394183,45235,227681,0,19300733
159,Taiwan,2022-10-24,Novavax,18367,24267,75535,1410,329178,0,448757
158,Taiwan,2022-10-24,Moderna,5026646,5276368,11590238,125767,1869906,0,23888925
157,Taiwan,2022-10-24,ALL,21766376,20457486,17063712,185252,2523883,0,61996709
156,Taiwan,2022-10-25,Oxford/AstraZeneca,8072460,7164472,59813,720,0,0,15297465
155,Taiwan,2022-10-25,高端,1019281,988465,944136,12123,97253,0,3061258
154,Taiwan,2022-10-25,BNT,7630787,7006042,4395873,45244,228011,0,19305957
153,Taiwan,2022-10-25,Novavax,18445,24381,75845,1410,329707,0,449788
152,Taiwan,2022-10-25,Moderna,5027138,5277579,11590635,125740,1870204,0,23891296
151,Taiwan,2022-10-25,ALL,21768111,20460939,17066302,185237,2525175,0,62005764
150,Taiwan,2022-10-26,Oxford/AstraZeneca,8072463,7164478,59814,720,0,0,15297475
149,Taiwan,2022-10-26,高端,1019301,988522,944368,12128,97383,0,3061702
148,Taiwan,2022-10-26,BNT,7632010,7008680,4397439,45260,228449,0,19311838
147,Taiwan,2022-10-26,Novavax,18524,24502,76181,1415,330358,0,450980
146,Taiwan,2022-10-26,Moderna,5027455,5278431,11590949,125679,1870522,0,23893036
145,Taiwan,2022-10-26,ALL,21769753,20464613,17068751,185202,2526712,0,62015031
144,Taiwan,2022-10-27,Oxford/AstraZeneca,8072464,7164481,59814,720,0,0,15297479
143,Taiwan,2022-10-27,高端,1019326,988565,944612,12059,97556,0,3062118
142,Taiwan,2022-10-27,BNT,7632921,7010920,4398640,45178,228746,0,19316405
141,Taiwan,2022-10-27,Novavax,18600,24669,76553,1418,331003,0,452243
140,Taiwan,2022-10-27,Moderna,5027870,5279450,11591609,125349,1870773,0,23895051
139,Taiwan,2022-10-27,ALL,21771181,20468085,17071228,184724,2528078,0,62023296
138,Taiwan,2022-10-28,Oxford/AstraZeneca,8072463,7164481,59814,720,0,0,15297478
137,Taiwan,2022-10-28,高端,1019340,988603,944826,12066,97733,0,3062568
136,Taiwan,2022-10-28,BNT,7634313,7013897,4399811,45153,229093,0,19322267
135,Taiwan,2022-10-28,Novavax,18658,24772,76915,1422,331898,0,453665
134,Taiwan,2022-10-28,Moderna,5028331,5280839,11591968,125092,1870650,0,23896880
133,Taiwan,2022-10-28,ALL,21773105,20472592,17073334,184453,2529374,0,62032858
132,Taiwan,2022-10-29,Oxford/AstraZeneca,8072465,7164481,59814,720,0,0,15297480
131,Taiwan,2022-10-29,高端,1019360,988668,945025,12068,97918,0,3063039
130,Taiwan,2022-10-29,BNT,7635868,7017312,4401126,45156,229455,0,19328917
129,Taiwan,2022-10-29,Novavax,18800,24971,77675,1426,333130,0,456002
128,Taiwan,2022-10-29,Moderna,5028762,5282225,11592654,125097,1872468,0,23901206
127,Taiwan,2022-10-29,ALL,21775255,20477657,17076294,184467,2532971,0,62046644
126,Taiwan,2022-10-31,Oxford/AstraZeneca,8072468,7164487,59815,720,0,0,15297490
125,Taiwan,2022-10-31,高端,1019370,988693,945125,12050,98040,0,3063278
124,Taiwan,2022-10-31,BNT,7636615,7018668,4401973,45189,229737,0,19332182
